Sl. No.,Transaction Name,Organization Industry,Organization Location,Funding Type,Money Raised,Announced Date,Announced Year,Funding Status,Total Funding Amount
122,Post-IPO Equity - Roxgold Inc.,"Mining, Precious Metals, Real Estate","Toronto, Ontario, Canada, North America",Post-IPO Equity,5000000,2015-07-20,2015,,170915255
123,Post-IPO Equity - Falco Resources,"Business Intelligence, Mining, Precious Metals, Real Estate","Montréal, Quebec, Canada, North America",Post-IPO Equity,6520500,2012-07-30,2012,,145006567
124,Pre Seed Round - Placeuse,"E-Commerce, Internet, Marketplace, Real Estate","Toronto, Ontario, Canada, North America",Pre-Seed,,2020-01-17,2020,Seed,
125,Angel Round - Stambol,"Architecture, Augmented Reality, Brand Marketing, Digital Entertainment, Digital Marketing, Enterprise Applications, Gamification, Human Computer Interaction, Interior Design, Marketing, Product Design, Real Estate, Virtual Reality","Vancouver, British Columbia, Canada, North America",Angel,,2017-02-01,2017,Seed,
126,Private Equity Round - Lone Wolf Technologies,"Real Estate, Software, Transaction Processing","Cambridge, Ontario, Canada, North America",Private Equity,,2020-10-23,2020,Private Equity,
127,Seed Round - Avesdo Inc.,"Management Information Systems, Real Estate, SaaS, Software","Toronto, Ontario, Canada, North America",Seed,1500000,2017-11-07,2017,Seed,1500000
128,Seed Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Seed,15000,2015-07-11,2015,Seed,6216736
129,Post-IPO Equity - RESAAS,"Enterprise Software, Real Estate","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,1725000,2012-03-21,2012,,29668690
130,Post-IPO Equity - PROREIT,"Real Estate, Real Estate Investment","Montréal, Quebec, Canada, North America",Post-IPO Equity,57557500,2019-08-16,2019,,188471425
131,Pre Seed Round - Real Estate Dot Love Inc.,"Mobile, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,200000,2018-08-15,2018,Seed,1000000
132,Funding Round - OneMove Technologies,"B2B, Legal, Real Estate, SaaS, Software","Vancouver, British Columbia, Canada, North America",Funding Round,3300000,2015-09-02,2015,,14363708
133,Seed Round - HomeSav,"Consumer Goods, E-Commerce, Fashion, Furniture, Real Estate","Toronto, Ontario, Canada, North America",Seed,1200000,2011-09-27,2011,Seed,1200000
134,Post-IPO Equity - Firm Capital American Realty Partners,"Asset Management, Financial Services, Lending, Property Management, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Post-IPO Equity,3800000,2017-12-11,2017,,3800000
135,Convertible Note - Roomvu,"Advertising, Real Estate, Social Media","Vancouver, British Columbia, Canada, North America",Convertible Note,,2021-09-11,2021,,1045650
136,Seed Round - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Seed,1500000,2013-06-05,2013,Seed,131500000
137,Venture Round - Work Nicer Coworking,"Hospitality, Real Estate","Calgary, Alberta, Canada, North America",Venture - Series Unknown,120000,2015-11-01,2015,,120000
138,Post-IPO Equity - Mosaic Capital,"Banking, Insurance, Real Estate, Venture Capital","Calgary, Alberta, Canada, North America",Post-IPO Equity,10416920,2014-12-19,2014,,54193256
139,Pre Seed Round - Requity Homes,Real Estate,"Toronto, Ontario, Canada, North America",Pre-Seed,,2020-01-01,2020,Seed,1200000
140,Series A - Breather,Real Estate,"Montréal, Quebec, Canada, North America",Series A,6000000,2014-07-11,2014,Early Stage Venture,131500000
141,Convertible Note - Harper-Swakum Corporation,Real Estate,"Lower Nicola, British Columbia, Canada, North America",Convertible Note,1200000,2013-07-25,2013,,1200000
142,Grant - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Grant,,2019-06-17,2019,,4800000
143,Private Equity Round - Archie,"Building Material, Coworking, Meeting Software, Real Estate, SaaS, Software","Montréal, Quebec, Canada, North America",Private Equity,1000000,2018-04-20,2018,Private Equity,1000000
144,Seed Round - Willow,"Finance, Real Estate, Real Estate Investment","Toronto, Ontario, Canada, North America",Seed,1000000,2020-09-16,2020,Seed,1000000
145,Seed Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Seed,,2016-10-05,2016,Seed,6216736
146,Pre Seed Round - BisRing,"Real Estate, Social Network","Richmond Hill, Ontario, Canada, North America",Pre-Seed,224020,2018-07-07,2018,Seed,400020
147,Series A - Aftercad Software,"3D Technology, Architecture, CAD, Construction, Manufacturing, Real Estate, SaaS, Software, Web Development","Vancouver, British Columbia, Canada, North America",Series A,1100000,2007-10-01,2007,Early Stage Venture,1100000
148,Pre Seed Round - Axwell,"Property Management, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,,2016-02-24,2016,Seed,
149,Post-IPO Equity - American Hotel Income Properties,"Property Management, Real Estate, Real Estate Investment","Vancouver, British Columbia, Canada, North America",Post-IPO Equity,103500000,2016-07-26,2016,,578393343
150,Seed Round - Retsly,"Information Technology, Property Management, Real Estate, Software","Vancouver, British Columbia, Canada, North America",Seed,150000,2013-12-10,2013,Seed,541566
151,Pre Seed Round - Guiker,"Internet, Real Estate","Montréal, Quebec, Canada, North America",Pre-Seed,1600000,2019-10-28,2019,Seed,1600000
152,Post-IPO Equity - True North Apartment REIT,"Real Estate, Venture Capital","Mississauga, Ontario, Canada, North America",Post-IPO Equity,80500000,2019-11-18,2019,,294752000
153,Venture Round - Envio Systems,"Cloud Management, Energy, Energy Efficiency, Energy Management, Information Technology, Predictive Analytics, Real Estate, SaaS, Smart Building, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,,2020-09-16,2020,,6216736
154,Venture Round - Falkbuilt,"Construction, Interior Design, Real Estate, Software","Calgary, Alberta, Canada, North America",Venture - Series Unknown,72654,2019-04-05,2019,,48224298
155,Seed Round - Realvision,"Digital Media, Marketing, Real Estate","Toronto, Ontario, Canada, North America",Seed,1450000,2017-03-15,2017,Seed,1450000
156,Series A - TheRedPin,Real Estate,"Toronto, Ontario, Canada, North America",Series A,3020000,2012-03-01,2012,Early Stage Venture,3020000
157,Equity Crowdfunding - GC Lifeline,"Information Technology, Internet, Real Estate, Software","Edmonton, Alberta, Canada, North America",Equity Crowdfunding,,2015-04-29,2015,,
158,Private Equity Round - Spacefy,"Commercial Real Estate, E-Commerce, Marketplace, Real Estate, Sharing Economy","Toronto, Ontario, Canada, North America",Private Equity,,2017-12-29,2017,Private Equity,3391741
159,Non Equity Assistance - Willful,"Building Material, E-Commerce, Internet, Legal Tech, Real Estate","Toronto, Ontario, Canada, North America",Non-equity Assistance,750000,2021-04-08,2021,,1342257
160,Pre Seed Round - Mero Technologies,"Analytics, Internet of Things, Real Estate, Software","Toronto, Ontario, Canada, North America",Pre-Seed,,2019-01-01,2019,Seed,4800000
